id,name,review_count,rating,latitude,longitude,price,station,category_alias,category_title,no_of_bikes,network_id
dbdJFucvf4i2zpmUW8n_eQ,La Maison de la Mozzarella,5.0,5.0,48.84928,2.29467,€€,Joseph Liouville - Croix Nivert,salad,Salad,32,velib
dbdJFucvf4i2zpmUW8n_eQ,La Maison de la Mozzarella,5.0,5.0,48.84928,2.29467,€€,Joseph Liouville - Croix Nivert,sandwiches,Sandwiches,32,velib
jAAdF3qWMcVpjP-gR4EADA,Les Frères Bretons,26.0,5.0,48.8490914,2.2987172,€€,Joseph Liouville - Croix Nivert,creperies,Creperies,32,velib
9-I2IlzSxJ9_55ezLGSYZw,Boulangerie Suffren 55,29.0,5.0,48.85291,2.29843,€,Joseph Liouville - Croix Nivert,bakeries,Bakeries,32,velib
285ac4ebFwBxQP1_Tpb4vg,Boulangerie Le Linois,4.0,5.0,48.84696,2.2853,0,Joseph Liouville - Croix Nivert,bakeries,Bakeries,32,velib
gyxq68OZaFWg0yYg2vMeGA,Le Concert de Cuisine,16.0,5.0,48.8531,2.2879,€€€,Joseph Liouville - Croix Nivert,japanese,Japanese,32,velib
UP5jnt30VLhmmOxQ9d1fgg,Le Cosmos,4.0,5.0,48.8471,2.29361,0,Joseph Liouville - Croix Nivert,brasseries,Brasseries,32,velib
cXYN8hF9yPGIebcZoJVPeA,Jium,4.0,5.0,48.84869,2.29668,0,Joseph Liouville - Croix Nivert,korean,Korean,32,velib
kVSdrsA5BFfWEaCzLv2czQ,Le Moulin de la Croix Nivert,4.0,5.0,48.84599,2.2989,0,Joseph Liouville - Croix Nivert,bakeries,Bakeries,32,velib
ZN-ATyEKr7NoUWzk4NZ7vA,Les Cafééries de Paris,4.0,5.0,48.83676,2.29807,€€,Joseph Liouville - Croix Nivert,cafes,Cafes,32,velib
npMKQlvcITn53sh96D_Ujg,Good News Coffee Shop,7.0,4.5,48.84368,2.2955899,0,Joseph Liouville - Croix Nivert,breakfast_brunch,Breakfast & Brunch,32,velib
npMKQlvcITn53sh96D_Ujg,Good News Coffee Shop,7.0,4.5,48.84368,2.2955899,0,Joseph Liouville - Croix Nivert,coffee,Coffee & Tea,32,velib
BR25gexBROPbNOuz0XgXDQ,Combat,5.0,5.0,48.873408,2.382214,€€,Marché Secrétan,cocktailbars,Cocktail Bars,5,velib
BR25gexBROPbNOuz0XgXDQ,Combat,5.0,5.0,48.873408,2.382214,€€,Marché Secrétan,wine_bars,Wine Bars,5,velib
BR25gexBROPbNOuz0XgXDQ,Combat,5.0,5.0,48.873408,2.382214,€€,Marché Secrétan,beerbar,Beer Bar,5,velib
VLk9hr7jYGgUujYkqver7A,Café Odilon,8.0,5.0,48.8891849554352,2.38175801932812,€€,Marché Secrétan,pizza,Pizza,5,velib
VLk9hr7jYGgUujYkqver7A,Café Odilon,8.0,5.0,48.8891849554352,2.38175801932812,€€,Marché Secrétan,french,French,5,velib
